"año";"unidad";"cantidad"
"1990";"mtco2eq";"273.82"
"1991";"mtco2eq";"304.26"
"1992";"mtco2eq";"312.12"
"1993";"mtco2eq";"309.59"
"1994";"mtco2eq";"315.86"
"1995";"mtco2eq";"321.82"
"1996";"mtco2eq";"355.50"
"1997";"mtco2eq";"352.48"
"1998";"mtco2eq";"376.56"
"1999";"mtco2eq";"368.06"
"2000";"mtco2eq";"369.48"
"2001";"mtco2eq";"367.31"
"2002";"mtco2eq";"371.51"
"2003";"mtco2eq";"386.63"
"2004";"mtco2eq";"404.10"
"2005";"mtco2eq";"399.75"
"2006";"mtco2eq";"428.33"
"2007";"mtco2eq";"450.09"
"2008";"mtco2eq";"430.42"
"2009";"mtco2eq";"386.10"
"2010";"mtco2eq";"400.38"
"2011";"mtco2eq";"386.17"
"2012";"mtco2eq";"426.50"
"2013";"mtco2eq";"428.30"
"2014";"mtco2eq";"399.87"
"2015";"mtco2eq";"384.21"
"2016";"mtco2eq";"379.14"
"2017";"mtco2eq";"386.83"
"2018";"mtco2eq";"386.27"
"2019";"mtco2eq";"347.00"
"2020";"mtco2eq";"392.96"
"2021";"mtco2eq";"398.35"
"2022";"mtco2eq";"400.92"
