"año";"unidad_de_medida";"hfc_125";"hfc_134a";"hfc_143a";"hfc_152a";"hfc_227ea";"hfc_23";"hfc_236fa";"hfc_245fa";"hfc_32";"hfc_365";"pfc_116_c2f6";"pfc_143_cf4";"total"
"1990";"MtCO2e";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0.00887";"0.04378";"0.05265"
"1991";"MtCO2e";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0.00887";"0.04378";"0.05265"
"1992";"MtCO2e";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0.00887";"0.04378";"0.05265"
"1993";"MtCO2e";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0.00887";"0.04378";"0.05265"
"1994";"MtCO2e";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0.00902";"0.04455";"0.05357"
"1995";"MtCO2e";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0.00952";"0.04699";"0.0565"
"1996";"MtCO2e";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0.00956";"0.04719";"0.05675"
"1997";"MtCO2e";"-";"0.00073";"-";"-";"-";"-";"-";"-";"-";"-";"0.00955";"0.04715";"0.05743"
"1998";"MtCO2e";"-";"0.02073";"-";"-";"-";"-";"-";"-";"-";"-";"0.00962";"0.04751";"0.07787"
"1999";"MtCO2e";"-";"0.05636";"-";"-";"-";"-";"-";"-";"-";"-";"0.01064";"0.0525";"0.1195"
"2000";"MtCO2e";"-";"0.1048";"-";"-";"-";"-";"-";"-";"-";"-";"0.01371";"0.06768";"0.18619"
"2001";"MtCO2e";"-";"0.16377";"-";"-";"-";"-";"-";"-";"-";"-";"0.01274";"0.06288";"0.2394"
"2002";"MtCO2e";"-";"0.23141";"-";"-";"-";"-";"-";"-";"-";"-";"0.01397";"0.06898";"0.31437"
"2003";"MtCO2e";"-";"0.30621";"-";"-";"-";"-";"-";"-";"-";"-";"0.01415";"0.06986";"0.39023"
"2004";"MtCO2e";"-";"0.38694";"-";"-";"-";"-";"-";"-";"-";"-";"0.01412";"0.06972";"0.47078"
"2005";"MtCO2e";"-";"0.4749";"-";"-";"-";"0.12908";"-";"-";"-";"-";"0.01407";"0.06944";"0.68748"
"2006";"MtCO2e";"-";"0.58519";"-";"-";"-";"0.07589";"-";"-";"-";"-";"0.00137";"0.00675";"0.66919"
"2007";"MtCO2e";"-";"0.67585";"-";"-";"-";"0.07645";"-";"-";"0.00016";"-";"0.00144";"0.00711";"0.76101"
"2008";"MtCO2e";"-";"0.76988";"-";"-";"-";"-";"-";"-";"0.00194";"-";"0.00197";"0.00971";"0.78349"
"2009";"MtCO2e";"-";"0.86653";"-";"0.00003";"-";"-";"-";"-";"0.00514";"-";"0.002";"0.00988";"0.88358"
"2010";"MtCO2e";"-";"0.96539";"-";"0.00072";"-";"0.05747";"-";"-";"0.00964";"-";"0.00204";"0.01006";"104.532"
"2011";"MtCO2e";"0.00529";"106.613";"0.00253";"0.00195";"-";"0.00314";"-";"-";"0.0153";"-";"0.00206";"0.01018";"110.658"
"2012";"MtCO2e";"0.0587";"126.339";"0.03007";"0.00362";"0.01999";"-";"-";"-";"0.02201";"0.00204";"0.00202";"0.00997";"141.181"
"2013";"MtCO2e";"0.17671";"15.856";"0.08034";"0.00558";"0.02196";"0.24325";"-";"-";"0.03456";"0.00729";"0.00216";"0.01068";"216.814"
"2014";"MtCO2e";"0.52738";"177.962";"0.15445";"0.00571";"0.01635";"0.85037";"0.00245";"0.00007";"0.0925";"0.01064";"0.00219";"0.01081";"345.254"
"2015";"MtCO2e";"0.89808";"198.963";"0.24174";"0.00583";"0.03489";"0.9099";"0.00799";"0.00068";"0.15634";"0.02024";"0.00212";"0.01049";"427.795"
"2016";"MtCO2e";"129.329";"214.739";"0.33481";"0.0064";"0.06826";"0.64806";"0.01735";"0.00023";"0.22593";"0.02389";"0.00211";"0.01042";"477.815"
"2017";"MtCO2e";"154.694";"223.287";"0.42702";"0.00655";"0.11936";"0.67818";"0.01923";"0.00023";"0.25974";"0.01023";"0.00212";"0.01047";"531.294"
"2018";"MtCO2e";"179.245";"233.284";"0.53352";"0.00556";"0.08846";"0.44322";"0.01846";"0.00023";"0.29462";"0.00339";"0.00216";"0.01068";"552.559"
"2019";"MtCO2e";"19.887";"230.864";"0.57393";"0.00473";"0.05923";"0.59735";"0.01772";"0.00023";"0.32304";"0.00259";"0.00216";"0.01065";"588.895"
"2020";"MtCO2e";"206.035";"236.818";"0.59736";"0.00403";"0.0553";"0.4485";"0.01702";"0.00023";"0.33596";"0.0025";"0.00152";"0.00752";"589.847"
"2021";"MtCO2e";"234.731";"253.525";"0.65653";"0.00369";"0.02397";"0.41311";"0.01633";"0.00027";"0.37462";"0.00806";"0.00166";"0.00821";"638.901"
"2022";"MtCO2e";"256.722";"272.832";"0.61953";"0.00317";"0.03134";"0.21483";"0.01568";"0.00142";"0.40742";"0.01376";"0.00197";"0.00972";"661.439"
