"año";"sector";"unidad_de_medida";"total";"co2";"ch4";"n2o";"otros_gei"

"1990";"Energia";"MtCO2e";"102.32";"88.86";"13.10";"0.36";"0.00"

"1990";"Procesos industriales y uso de productos";"MtCO2e";"8.52";"8.35";"0.05";"0.06";"0.05"

"1990";"Agricultura y Ganaderia";"MtCO2e";"96.24";"0.14";"83.46";"12.63";"0.00"

"1990";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"54.95";"44.35";"8.25";"2.35";"0.00"

"1990";"Residuos";"MtCO2e";"11.80";"0.02";"11.09";"0.69";"0.00"

"1991";"Energia";"MtCO2e";"108.04";"93.80";"13.84";"0.40";"0.00"

"1991";"Procesos industriales y uso de productos";"MtCO2e";"7.89";"7.72";"0.05";"0.06";"0.05"

"1991";"Agricultura y Ganaderia";"MtCO2e";"97.83";"0.14";"84.66";"13.03";"0.00"

"1991";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"78.39";"67.71";"8.31";"2.37";"0.00"

"1991";"Residuos";"MtCO2e";"12.11";"0.02";"11.36";"0.74";"0.00"

"1992";"Energia";"MtCO2e";"111.63";"96.68";"14.52";"0.43";"0.00"

"1992";"Procesos industriales y uso de productos";"MtCO2e";"7.89";"7.72";"0.06";"0.06";"0.05"

"1992";"Agricultura y Ganaderia";"MtCO2e";"99.41";"0.14";"86.12";"13.15";"0.00"

"1992";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"80.85";"70.09";"8.38";"2.39";"0.00"

"1992";"Residuos";"MtCO2e";"12.35";"0.02";"11.58";"0.74";"0.00"

"1993";"Energia";"MtCO2e";"113.62";"97.19";"15.98";"0.45";"0.00"

"1993";"Procesos industriales y uso de productos";"MtCO2e";"8.38";"8.22";"0.05";"0.06";"0.05"

"1993";"Agricultura y Ganaderia";"MtCO2e";"101.53";"0.14";"88.19";"13.19";"0.00"

"1993";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"73.47";"62.71";"8.40";"2.37";"0.00"

"1993";"Residuos";"MtCO2e";"12.60";"0.02";"11.81";"0.77";"0.00"

"1994";"Energia";"MtCO2e";"118.89";"101.48";"16.92";"0.49";"0.00"

"1994";"Procesos industriales y uso de productos";"MtCO2e";"9.66";"9.48";"0.05";"0.07";"0.05"

"1994";"Agricultura y Ganaderia";"MtCO2e";"102.69";"0.22";"88.81";"13.66";"0.00"

"1994";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"71.68";"65.65";"4.69";"1.34";"0.00"

"1994";"Residuos";"MtCO2e";"12.94";"0.02";"12.15";"0.77";"0.00"

"1995";"Energia";"MtCO2e";"121.82";"103.08";"18.25";"0.48";"0.00"

"1995";"Procesos industriales y uso de productos";"MtCO2e";"9.62";"9.44";"0.06";"0.07";"0.06"

"1995";"Agricultura y Ganaderia";"MtCO2e";"101.36";"0.24";"87.24";"13.88";"0.00"

"1995";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"75.66";"69.46";"4.83";"1.36";"0.00"

"1995";"Residuos";"MtCO2e";"13.36";"0.02";"12.57";"0.77";"0.00"

"1996";"Energia";"MtCO2e";"138.41";"117.32";"20.51";"0.58";"0.00"

"1996";"Procesos industriales y uso de productos";"MtCO2e";"10.33";"10.15";"0.06";"0.06";"0.06"

"1996";"Agricultura y Ganaderia";"MtCO2e";"98.91";"0.40";"84.16";"14.34";"0.00"

"1996";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"94.08";"88.52";"4.34";"1.22";"0.00"

"1996";"Residuos";"MtCO2e";"13.78";"0.02";"12.96";"0.80";"0.00"

"1997";"Energia";"MtCO2e";"139.47";"117.15";"21.74";"0.57";"0.00"

"1997";"Procesos industriales y uso de productos";"MtCO2e";"11.49";"11.30";"0.05";"0.08";"0.06"

"1997";"Agricultura y Ganaderia";"MtCO2e";"97.76";"0.37";"82.90";"14.50";"0.00"

"1997";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"89.54";"84.00";"4.31";"1.23";"0.00"

"1997";"Residuos";"MtCO2e";"14.22";"0.02";"13.38";"0.81";"0.00"

"1998";"Energia";"MtCO2e";"147.53";"124.31";"22.62";"0.59";"0.00"

"1998";"Procesos industriales y uso de productos";"MtCO2e";"11.81";"11.60";"0.05";"0.08";"0.08"

"1998";"Agricultura y Ganaderia";"MtCO2e";"93.60";"0.36";"78.79";"14.44";"0.00"

"1998";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"109.23";"102.29";"5.18";"1.76";"0.00"

"1998";"Residuos";"MtCO2e";"14.39";"0.03";"13.76";"0.60";"0.00"

"1999";"Energia";"MtCO2e";"150.13";"126.56";"23.01";"0.56";"0.00"

"1999";"Procesos industriales y uso de productos";"MtCO2e";"11.18";"10.92";"0.06";"0.08";"0.12"

"1999";"Agricultura y Ganaderia";"MtCO2e";"98.27";"0.47";"82.55";"15.26";"0.00"

"1999";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"93.72";"87.85";"4.46";"1.40";"0.00"

"1999";"Residuos";"MtCO2e";"14.76";"0.03";"14.11";"0.63";"0.00"

"2000";"Energia";"MtCO2e";"147.40";"122.52";"24.37";"0.51";"0.00"

"2000";"Procesos industriales y uso de productos";"MtCO2e";"10.71";"10.39";"0.05";"0.08";"0.19"

"2000";"Agricultura y Ganaderia";"MtCO2e";"97.00";"0.47";"81.43";"15.10";"0.00"

"2000";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"99.15";"85.20";"9.85";"4.10";"0.00"

"2000";"Residuos";"MtCO2e";"15.22";"0.03";"14.57";"0.63";"0.00"

"2001";"Energia";"MtCO2e";"143.76";"117.83";"25.40";"0.52";"0.00"

"2001";"Procesos industriales y uso de productos";"MtCO2e";"11.18";"10.77";"0.11";"0.06";"0.24"

"2001";"Agricultura y Ganaderia";"MtCO2e";"95.02";"0.52";"79.32";"15.18";"0.00"

