"año";"total";"unidad_de_medida";"co2";"ch4";"n2o";"otros_gei"
"1990";"273.82";"MtCO2e";"141.72";"115.95";"16.10";"0.05"
"1991";"304.26";"MtCO2e";"169.40";"118.21";"16.60";"0.05"
"1992";"312.12";"MtCO2e";"174.65";"120.65";"16.77";"0.05"
"1993";"309.59";"MtCO2e";"168.28";"124.42";"16.84";"0.05"
"1994";"315.86";"MtCO2e";"176.85";"122.62";"16.34";"0.05"
"1995";"321.82";"MtCO2e";"182.24";"122.94";"16.57";"0.06"
"1996";"355.50";"MtCO2e";"216.42";"122.03";"17.00";"0.06"
"1997";"352.48";"MtCO2e";"212.85";"122.39";"17.19";"0.06"
"1998";"376.56";"MtCO2e";"238.58";"120.41";"17.48";"0.08"
"1999";"368.06";"MtCO2e";"225.83";"124.19";"17.92";"0.12"
"2000";"369.48";"MtCO2e";"218.61";"130.27";"20.41";"0.19"
"2001";"367.31";"MtCO2e";"212.01";"132.44";"22.63";"0.24"
"2002";"371.51";"MtCO2e";"219.76";"131.56";"19.88";"0.31"
"2003";"386.63";"MtCO2e";"228.05";"137.04";"21.15";"0.39"
"2004";"404.10";"MtCO2e";"249.32";"134.43";"19.88";"0.47"
"2005";"399.75";"MtCO2e";"243.57";"135.21";"20.28";"0.69"
"2006";"428.33";"MtCO2e";"269.79";"136.65";"21.22";"0.67"
"2007";"450.09";"MtCO2e";"291.87";"135.90";"21.56";"0.76"
"2008";"430.42";"MtCO2e";"272.88";"135.82";"20.93";"0.78"
"2009";"386.10";"MtCO2e";"235.86";"129.83";"19.53";"0.88"
"2010";"400.38";"MtCO2e";"257.03";"121.85";"20.45";"1.05"
"2011";"386.17";"MtCO2e";"244.92";"118.82";"21.32";"1.11"
"2012";"426.50";"MtCO2e";"282.24";"122.15";"20.71";"1.41"
"2013";"428.30";"MtCO2e";"280.98";"123.85";"21.30";"2.17"
"2014";"399.87";"MtCO2e";"250.13";"124.47";"21.82";"3.45"
"2015";"384.21";"MtCO2e";"234.63";"124.65";"20.66";"4.28"
"2016";"379.14";"MtCO2e";"226.06";"125.84";"22.46";"4.78"
"2017";"386.83";"MtCO2e";"227.97";"129.78";"23.78";"5.31"
"2018";"386.27";"MtCO2e";"227.07";"129.84";"23.84";"5.53"
"2019";"347.00";"MtCO2e";"186.96";"129.44";"24.71";"5.89"
"2020";"392.96";"MtCO2e";"232.36";"128.92";"25.78";"5.90"
"2021";"398.35";"MtCO2e";"237.37";"128.14";"26.45";"6.39"
"2022";"400.92";"MtCO2e";"239.45";"129.41";"25.45";"6.61"
