"año";"unidad_de_medida";"emisiones_por_producto_interno_bruto"
"1990";"tCO2e_por_millones_pesos_2004";"862.66"
"1991";"tCO2e_por_millones_pesos_2004";"867.50"
"1992";"tCO2e_por_millones_pesos_2004";"806.80"
"1993";"tCO2e_por_millones_pesos_2004";"753.19"
"1994";"tCO2e_por_millones_pesos_2004";"726.10"
"1995";"tCO2e_por_millones_pesos_2004";"761.46"
"1996";"tCO2e_por_millones_pesos_2004";"797.12"
"1997";"tCO2e_por_millones_pesos_2004";"731.05"
"1998";"tCO2e_por_millones_pesos_2004";"752.02"
"1999";"tCO2e_por_millones_pesos_2004";"760.81"
"2000";"tCO2e_por_millones_pesos_2004";"769.81"
"2001";"tCO2e_por_millones_pesos_2004";"800.60"
"2002";"tCO2e_por_millones_pesos_2004";"908.76"
"2003";"tCO2e_por_millones_pesos_2004";"868.01"
"2004";"tCO2e_por_millones_pesos_2004";"833.00"
"2005";"tCO2e_por_millones_pesos_2004";"757.02"
"2006";"tCO2e_por_millones_pesos_2004";"750.73"
"2007";"tCO2e_por_millones_pesos_2004";"723.69"
"2008";"tCO2e_por_millones_pesos_2004";"665.08"
"2009";"tCO2e_por_millones_pesos_2004";"634.12"
"2010";"tCO2e_por_millones_pesos_2004";"597.11"
"2011";"tCO2e_por_millones_pesos_2004";"543.30"
"2012";"tCO2e_por_millones_pesos_2004";"606.27"
"2013";"tCO2e_por_millones_pesos_2004";"594.53"
"2014";"tCO2e_por_millones_pesos_2004";"569.37"
"2015";"tCO2e_por_millones_pesos_2004";"532.53"
"2016";"tCO2e_por_millones_pesos_2004";"536.66"
"2017";"tCO2e_por_millones_pesos_2004";"532.54"
"2018";"tCO2e_por_millones_pesos_2004";"546.06"
"2019";"tCO2e_por_millones_pesos_2004";"500.56"
"2020";"tCO2e_por_millones_pesos_2004";"629.15"
"2021";"tCO2e_por_millones_pesos_2004";"576.04"
"2022";"tCO2e_por_millones_pesos_2004";"552.38"
