"año";"energia";"procesos_industriales_y_uso_de_productos";"agricultura_y_ganaderia";"usos_de_la_tierra_cambios_de_uso_de_la_tierra_y_silvicultura";"residuos";"total";"unidad_de_medida"
"1990";"102.32";"8.52";"96.24";"54.95";"11.80";"273.82";"MtCO2e"
"1991";"108.04";"7.89";"97.83";"78.39";"12.11";"304.26";"MtCO2e"
"1992";"111.63";"7.89";"99.41";"80.85";"12.35";"312.12";"MtCO2e"
"1993";"113.62";"8.38";"101.53";"73.47";"12.60";"309.59";"MtCO2e"
"1994";"118.89";"9.66";"102.69";"71.68";"12.94";"315.86";"MtCO2e"
"1995";"121.82";"9.62";"101.36";"75.66";"13.36";"321.82";"MtCO2e"
"1996";"138.41";"10.33";"98.91";"94.08";"13.78";"355.50";"MtCO2e"
"1997";"139.47";"11.49";"97.76";"89.54";"14.22";"352.48";"MtCO2e"
"1998";"147.53";"11.81";"93.60";"109.23";"14.39";"376.56";"MtCO2e"
"1999";"150.13";"11.18";"98.27";"93.72";"14.76";"368.06";"MtCO2e"
"2000";"147.40";"10.71";"97.00";"99.15";"15.22";"369.48";"MtCO2e"
"2001";"143.76";"11.18";"95.02";"101.58";"15.78";"367.31";"MtCO2e"
"2002";"136.19";"11.01";"97.53";"110.64";"16.13";"371.51";"MtCO2e"
"2003";"146.15";"12.80";"100.74";"110.19";"16.76";"386.63";"MtCO2e"
"2004";"158.51";"14.19";"103.19";"110.99";"17.22";"404.10";"MtCO2e"
"2005";"162.36";"15.54";"103.33";"100.74";"17.77";"399.75";"MtCO2e"
"2006";"171.34";"16.04";"105.09";"117.60";"18.26";"428.33";"MtCO2e"
"2007";"185.60";"16.73";"105.06";"124.40";"18.31";"450.09";"MtCO2e"
"2008";"191.05";"16.54";"104.85";"99.95";"18.02";"430.42";"MtCO2e"
"2009";"177.60";"14.83";"100.31";"75.67";"17.68";"386.10";"MtCO2e"
"2010";"190.66";"17.20";"95.00";"79.33";"18.19";"400.38";"MtCO2e"
"2011";"198.85";"18.57";"93.30";"56.85";"18.59";"386.17";"MtCO2e"
"2012";"199.12";"17.67";"94.24";"96.32";"19.16";"426.50";"MtCO2e"
"2013";"201.71";"19.30";"96.57";"91.19";"19.53";"428.30";"MtCO2e"
"2014";"198.54";"20.78";"98.22";"62.18";"20.16";"399.87";"MtCO2e"
"2015";"204.55";"21.53";"96.97";"40.41";"20.76";"384.21";"MtCO2e"
"2016";"205.13";"19.92";"98.76";"34.11";"21.22";"379.14";"MtCO2e"
"2017";"199.36";"21.37";"101.03";"43.48";"21.60";"386.83";"MtCO2e"
"2018";"197.83";"21.80";"102.13";"42.47";"22.04";"386.27";"MtCO2e"
"2019";"189.17";"20.78";"103.56";"10.90";"22.59";"347.00";"MtCO2e"
"2020";"173.70";"19.11";"103.70";"73.82";"22.63";"392.96";"MtCO2e"
"2021";"192.90";"22.13";"104.45";"55.89";"22.98";"398.35";"MtCO2e"
"2022";"200.37";"23.64";"102.19";"51.40";"23.31";"400.92";"MtCO2e"
