"ï»¿aÃ±o";"agricultura";"aguas_residuales";"cambio_de_uso_de_suelos_y_silvicultura";"combustibles_industrias";"combustibles_otros_sectores";"combustibles_residencial";"emisiones_fugitivas";"fabricacion_de_combustibles";"ganaderia";"generacion_de_electricidad";"procesos_industriales";"residuos_solidos_urbanos";"transporte";"total";"unidad_de_medida"
"1990";"3.98";"5.17";"55.64";"20.77";"9.26";"13.52";"13.35";"7.34";"91.56";"15.36";"8.52";"6.63";"22.73";"273.82";"MtCO2e"
"1991";"4.05";"5.30";"79.20";"18.37";"8.58";"13.27";"14.04";"8.63";"92.97";"18.82";"7.89";"6.81";"26.33";"304.26";"MtCO2e"
"1992";"4.14";"5.33";"81.67";"20.51";"9.60";"13.09";"14.75";"8.57";"94.45";"17.58";"7.89";"7.01";"27.53";"312.12";"MtCO2e"
"1993";"3.93";"5.35";"74.25";"17.81";"10.36";"15.13";"16.22";"7.91";"96.81";"17.14";"8.38";"7.25";"29.05";"309.59";"MtCO2e"
"1994";"4.35";"5.44";"72.57";"20.78";"10.63";"15.18";"17.18";"6.77";"97.44";"16.06";"9.66";"7.50";"32.28";"315.86";"MtCO2e"
"1995";"4.66";"5.58";"76.77";"20.40";"10.48";"15.23";"18.54";"7.74";"95.59";"17.54";"9.62";"7.78";"31.88";"321.82";"MtCO2e"
"1996";"5.58";"5.72";"95.27";"21.79";"12.11";"15.16";"20.80";"8.56";"92.13";"20.41";"10.33";"8.06";"39.59";"355.50";"MtCO2e"
"1997";"5.70";"5.85";"90.98";"22.07";"12.50";"15.17";"22.10";"10.12";"90.63";"19.05";"11.49";"8.36";"38.45";"352.48";"MtCO2e"
"1998";"6.89";"5.70";"109.68";"24.20";"12.87";"15.38";"22.95";"11.34";"86.26";"20.66";"11.81";"8.69";"40.13";"376.56";"MtCO2e"
"1999";"7.23";"5.73";"94.59";"23.48";"12.75";"16.54";"23.35";"11.37";"90.17";"25.06";"11.18";"9.02";"37.59";"368.06";"MtCO2e"
"2000";"10.80";"5.89";"96.09";"23.07";"11.73";"17.52";"24.70";"11.76";"89.26";"24.45";"10.71";"9.33";"34.15";"369.48";"MtCO2e"
"2001";"15.58";"6.15";"93.75";"21.99";"13.14";"17.04";"25.73";"11.66";"87.26";"18.65";"11.18";"9.64";"35.56";"367.31";"MtCO2e"
"2002";"9.66";"6.19";"108.27";"21.79";"12.20";"16.58";"24.86";"12.34";"90.25";"15.70";"11.01";"9.94";"32.73";"371.51";"MtCO2e"
"2003";"10.49";"6.61";"107.91";"23.96";"12.90";"17.27";"26.76";"13.03";"92.52";"18.18";"12.80";"10.15";"34.06";"386.63";"MtCO2e"
"2004";"8.74";"6.87";"111.32";"25.10";"13.76";"17.79";"27.46";"13.26";"94.12";"24.40";"14.19";"10.35";"36.75";"404.10";"MtCO2e"
"2005";"8.74";"7.14";"100.84";"26.14";"14.21";"18.85";"26.74";"12.56";"94.50";"25.89";"15.54";"10.62";"37.97";"399.75";"MtCO2e"
"2006";"9.46";"7.46";"118.00";"27.91";"14.85";"18.89";"27.09";"12.87";"95.23";"28.86";"16.04";"10.79";"40.87";"428.33";"MtCO2e"
"2007";"9.05";"7.52";"125.54";"28.29";"16.39";"22.25";"26.96";"14.21";"94.86";"33.27";"16.73";"10.79";"44.25";"450.09";"MtCO2e"
"2008";"8.99";"7.55";"100.92";"29.76";"15.81";"21.14";"26.88";"15.30";"94.90";"35.81";"16.54";"10.47";"46.35";"430.42";"MtCO2e"
"2009";"8.86";"7.65";"75.78";"24.19";"14.46";"20.73";"25.29";"16.19";"91.34";"34.21";"14.83";"10.04";"42.52";"386.10";"MtCO2e"
"2010";"9.83";"7.98";"80.50";"32.14";"5.43";"24.03";"24.59";"16.24";"84.00";"36.18";"17.20";"10.21";"52.06";"400.38";"MtCO2e"
"2011";"10.80";"8.26";"58.33";"32.26";"7.49";"24.03";"23.98";"15.78";"81.03";"42.33";"18.57";"10.34";"52.98";"386.17";"MtCO2e"
"2012";"9.53";"8.27";"97.69";"31.76";"7.25";"25.29";"23.41";"15.90";"83.34";"43.60";"17.67";"10.89";"51.91";"426.50";"MtCO2e"
